gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PSC.0149	PSC.0174	PSC.0177	PSC.0186	PSC.0187	PSC.0188	PSC.0190	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0228	PSC.0230	PSC.0231
g15192.t1	g15192.t1	64.7668616314932	5.44160382147047	1.33523607242013	4.07538706740261	4.59378722245145e-05	0.0124590072026058	4	5	3	0	851	3	0	1	2	0	26	30	0	0
g47.t1	g47.t1	18.8863042489252	1.95545174147407	0.469016494526681	4.16926006716984	3.05590130669636e-05	0.00935746553348877	5	11	15	3	32	49	8	1	4	8	32	47	37	21
g20804.t1	g20804.t1	9.94286523484667	4.21499589169403	1.11709672159614	3.77317004893857	0.000161186344615055	0.0294303476704682	3	3	2	0	88	1	0	0	1	1	23	21	3	0
g290.t2	g290.t2	1320.13698811655	-1.16995339516659	0.252581650858689	-4.63198095027552	3.62183485855898e-06	0.00256144091539878	1753	877	900	2124	531	770	1222	2255	1414	2339	867	1249	1030	1072
g9649.t1	g9649.t1	3249.66308438039	-2.0845978864468	0.497310598059397	-4.1917423328224	2.7682028954612e-05	0.00890751389327643	4639	6648	295	258	954	1309	6445	1068	725	2843	730	2001	413	6889
g8019.t3	g8019.t3	2.48742304753389	4.82554199358896	1.10231409367792	4.37764700756782	1.19967441376051e-05	0.00493836228284704	0	0	4	0	10	8	0	0	0	0	3	4	12	0
g22928.t1	g22928.t1	12.8805792880574	4.15605874401693	0.912303488474496	4.55556598930304	5.2244710386711e-06	0.00309958070841159	1	1	0	1	52	40	0	2	5	2	36	41	16	0
g16046.t1	g16046.t1	145.511306227727	2.98180431546909	0.824555956118157	3.61625465602944	0.000298896342025849	0.0429889928284905	30	0	67	34	403	378	27	86	58	0	210	619	316	22
g23102.t1	g23102.t1	337.602738246516	-2.12507748723109	0.47375077394677	-4.4856443600657	7.2693907791677e-06	0.00384847018007704	342	51	35	614	90	122	370	1076	501	575	177	126	305	401
g11693.t1	g11693.t1	107.046424386654	-1.62943066140022	0.413648260511664	-3.93916962054837	8.17641103378482e-05	0.0184727701249691	175	180	16	59	44	86	183	104	16	125	32	73	54	129
g14873.t1	g14873.t1	239.295717293236	2.39828598306929	0.650124331632005	3.68896512002386	0.000225168082923364	0.036028631816943	25	21	257	85	146	624	30	163	554	53	208	668	1138	21
g12314.t1	g12314.t1	14.2014362561139	3.85405412639766	0.981893310444	3.92512514893793	8.66846592380961e-05	0.0189161868463822	3	3	3	1	153	9	0	0	2	0	5	23	2	0
g2188.t1	g2188.t1	25.1509825108092	3.45780015640808	0.935585594648316	3.69586724740867	0.000219137461576563	0.0359671844306773	6	4	8	2	3	154	0	9	18	1	11	29	193	1
g21577.t1	g21577.t1	152.918447708424	-1.2773863574212	0.312984374770845	-4.08131031575125	4.47825171039587e-05	0.0124453815302952	267	154	41	97	186	97	139	85	86	210	52	105	77	336
g23422.t1	g23422.t1	225.190473841817	4.07703747871642	1.07262807837564	3.80097963209259	0.000144125150132224	0.0280734818873809	16	13	6	12	2642	16	4	3	23	0	23	458	19	2
g15722.t1	g15722.t1	665.950170242478	4.42157108103175	0.874409160280839	5.05663856450412	4.26710859040545e-07	0.000623161973760365	10	12	22	55	6606	113	24	29	21	51	416	2182	71	56
g12819.t1	g12819.t1	105.551482279144	2.58873037978567	0.690691283318092	3.74802816006215	0.000178230247734435	0.030760920483984	5	9	15	1	799	196	54	4	8	1	26	205	23	87
g20946.t1	g20946.t1	21.7133654731047	3.86957010525224	1.04917103224457	3.68821668376965	0.000225831297667433	0.036028631816943	3	2	5	11	154	2	0	11	3	0	71	58	10	0
g14541.t1	g14541.t1	211.176466715926	1.59787103895084	0.387143688351489	4.12733330550937	3.6699428058309e-05	0.0107190560259538	24	20	275	475	155	105	18	337	115	134	1009	161	741	39
g13972.t1	g13972.t1	59.7699272604505	6.6832900497172	1.26207816590094	5.29546444133776	1.18714294105986e-07	0.000321970124800307	0	25	109	0	323	170	0	0	0	0	78	143	29	0
g23708.t1	g23708.t1	31.8595090739203	1.62658767367129	0.445151470997209	3.65400943195241	0.00025817677686324	0.0389006834027668	16	22	55	7	103	55	8	12	37	7	35	61	38	10
g15371.t1	g15371.t1	8048.22431387692	-1.12898353803374	0.244367675968885	-4.62001994968226	3.83703148064241e-06	0.00256144091539878	7066	4701	6536	12089	2362	2970	4326	17535	12209	24068	8884	4528	9794	3838
g2005.t1	g2005.t1	1028.94362538264	-2.21821899742672	0.61176759849931	-3.62591775515423	0.00028793699377956	0.0417288841748469	4955	257	252	470	113	619	712	336	1327	460	329	254	165	2365
g23749.t1	g23749.t1	6.6199014400455	3.04265712942867	0.837647589257639	3.63238331781652	0.000280815565135145	0.0410098731083903	0	2	1	1	46	6	1	3	2	0	10	16	11	1
g23664.t1	g23664.t1	178.871337673344	-0.797155629003532	0.215141127104764	-3.70526844277131	0.000211166968696806	0.0351667096553409	208	244	79	200	103	201	164	185	144	222	128	151	200	190
g15835.t2	g15835.t2	16.719747919646	4.6841734260732	1.12860171659719	4.1504220285933	3.31862806727569e-05	0.00984439904019203	0	7	0	0	90	64	0	0	0	0	12	36	32	8
g3275.t1	g3275.t1	9.00990441462564	2.40004272204137	0.631652315606149	3.79962625441851	0.00014491447063278	0.0280734818873809	0	0	27	10	11	6	0	16	5	1	25	6	50	2
g10969.t1	g10969.t1	365.593705461426	5.4338642332262	1.06988274478308	5.07893435960399	3.79557810380244e-07	0.000623161973760365	5	11	5	19	4319	11	2	3	7	5	114	752	3	6
g23101.t1	g23101.t1	20.2370348955711	-2.52444192247515	0.509264699272352	-4.95703300480502	7.15778211523287e-07	0.0008493155841106	20	4	5	39	5	6	25	66	26	19	9	5	8	37
g1326.t1	g1326.t1	1246.74302351306	6.03531843361671	1.09592261525168	5.50706623772946	3.64863004709149e-08	0.00017317310361008	28	14	32	50	15268	31	1	6	21	2	254	2166	40	10
g13916.t2	g13916.t2	27.6007007013713	4.20654979220025	0.949684794904807	4.42941680731226	9.44882527940184e-06	0.00440741743571871	32	38	59	0	49	55	4	0	0	0	11	82	61	12
g20748.t1	g20748.t1	79.8543208185469	3.18129104941269	0.86556963521658	3.67537274874098	0.000237502398569143	0.036958877351108	5	7	0	3	604	197	3	7	11	0	15	248	29	22
g16019.t1	g16019.t1	548.000712209961	3.28960349064567	0.785807757365229	4.18627006390918	2.83575921524399e-05	0.00897281478356785	45	19	157	162	2439	1001	98	315	121	2	442	2507	1117	18
g9872.t1	g9872.t1	335.139721525417	-1.07464768140314	0.298012026107336	-3.60605474698555	0.000310887574837649	0.0435425654968847	157	160	419	1088	24	64	80	748	572	742	469	82	807	76
g12334.t1	g12334.t1	6.08086780494638	4.24169873349787	1.09604674220276	3.86999803035151	0.000108836232569134	0.0221995122506243	1	1	4	0	55	15	0	1	0	0	3	7	0	0
g22338.t1	g22338.t1	366.756776642294	2.6964642851674	0.705366199467076	3.82278635863846	0.000131952100150189	0.0263695854879087	63	96	21	70	3530	269	15	42	53	27	92	852	122	41
g21823.t1	g21823.t1	59.240723627598	5.14216183386712	1.12803261762173	4.55852229229729	5.15147973895269e-06	0.00309958070841159	3	5	4	3	530	12	0	1	0	3	177	120	0	11
g14601.t1	g14601.t1	43.3187773256475	7.01013732553484	1.54641392885022	4.53315712873006	5.81085557515661e-06	0.0032446792086573	0	1	1	0	520	1	0	0	2	0	38	62	0	0
g9311.t1	g9311.t1	38.1043895304546	-3.48347850972726	0.833011437685555	-4.18178953149285	2.89223642148177e-05	0.00900149319046416	4	20	12	45	0	0	23	33	172	134	39	0	50	34
g4312.t1	g4312.t1	641.972710392917	-1.51739376365088	0.424144805871287	-3.57753706433778	0.000346847048609137	0.0468742591561759	340	548	312	891	144	331	1195	664	618	975	510	275	630	723
g5221.t1	g5221.t1	264.441277782924	2.46353224711981	0.563282938783502	4.37352541236238	1.22256005948807e-05	0.00493836228284704	79	33	228	226	219	838	26	103	106	224	196	1154	755	16
g275.t1	g275.t1	572.675160354508	-0.534838666748742	0.147239898899229	-3.63243027703236	0.000280764451370211	0.0410098731083903	631	532	443	777	570	506	505	652	605	505	454	494	661	575
g2626.t1	g2626.t1	527.78168943174	3.86447046730355	0.996698865122518	3.87726985806141	0.00010563517104525	0.0220382826625723	8	15	18	11	6440	39	3	3	6	8	111	604	6	215
g5505.t1	g5505.t1	539.194876443706	-1.59119828025407	0.400910795775885	-3.96895842421658	7.21874741463062e-05	0.0165117975502123	1030	842	97	54	251	420	1151	340	235	143	94	305	115	833
g22337.t1	g22337.t1	143.344547429467	2.791016204487	0.684242252301615	4.07898839204791	4.52320951061559e-05	0.0124453815302952	22	29	15	12	1399	119	11	20	27	8	40	306	32	16
g14316.t1	g14316.t1	24.9922257237131	1.84147665669299	0.517358720023915	3.55938072640945	0.000371730309961162	0.0486710340318115	5	6	15	18	65	79	2	22	11	9	10	66	66	14
g17510.t1	g17510.t1	9.59502827831356	3.87299745504146	1.00032395412834	3.87174318785188	0.000108059771773083	0.0221995122506243	0	0	1	1	35	10	1	2	0	0	4	86	1	1
g20860.t1	g20860.t1	114.387696812105	2.91763887792293	0.773269890344734	3.77311843426648	0.00016121970807104	0.0294303476704682	15	17	15	8	62	492	25	12	12	6	0	897	103	18
g11097.t1	g11097.t1	74.2877579461976	2.64891919253539	0.562336772057538	4.71055659910563	2.47041179570708e-06	0.00195419866422912	15	12	25	23	270	186	6	46	15	18	40	376	80	7
g3465.t1	g3465.t1	131.492660187189	-6.11273183636504	1.34792564850906	-4.53491766636114	5.7625960411374e-06	0.0032446792086573	145	159	0	591	0	0	84	782	0	79	2	30	0	103
g23587.t1	g23587.t1	8.56079292777139	2.3708619810335	0.66288693155079	3.57657070639028	0.000348131184673205	0.0468742591561759	0	5	15	2	38	14	1	9	2	1	5	21	15	2
g24131.t3	g24131.t3	44.1111400857814	5.82161653537451	1.31477646953135	4.42783748438213	9.51825730126242e-06	0.00440741743571871	0	0	0	18	270	55	0	4	39	27	50	132	95	0
g21166.t2	g21166.t2	8.85345642372445	6.63082195077057	1.76067825829848	3.76606112986173	0.000165843203212664	0.0297274350274758	0	0	0	0	56	0	0	0	0	0	25	27	39	0
g18616.t1	g18616.t1	27.0904582781324	3.10327726991517	0.868183869013296	3.5744470505333	0.000350968826416434	0.0469235434472958	1	2	9	9	242	6	6	1	1	0	9	86	12	6
g5989.t1	g5989.t1	28.4579912507807	1.60980720325624	0.44275992722498	3.63584666152105	0.000277069115382232	0.0410098731083903	14	8	45	36	45	47	3	23	42	10	39	57	88	2
g11068.t1	g11068.t1	11.6396130119988	2.00586708786949	0.430833529966381	4.65578221831066	3.22752960967157e-06	0.00245098598558459	3	8	13	7	26	29	0	6	2	4	15	25	36	8
g3867.t2	g3867.t2	8.85829544060975	3.91889261507582	0.97102124243142	4.0358464303654	5.44057956865869e-05	0.0136171258007386	0	0	13	0	18	25	0	5	9	2	24	32	9	0
g9442.t2	g9442.t2	23.3513197316153	5.65927690738975	1.27238087483814	4.44778526564201	8.67601971244078e-06	0.00423343866370691	10	0	0	0	88	90	0	0	0	0	28	104	32	0
g10994.t1	g10994.t1	9.46657748384506	3.92767468629049	1.05689144504401	3.71625175386573	0.000202200115462387	0.0339714087792337	0	0	1	0	59	9	2	0	3	0	11	49	3	1
g23106.t1	g23106.t1	209.407708309061	-1.96345136053495	0.466285020110665	-4.21083945623849	2.54423510581008e-05	0.00847408833049198	118	54	21	388	49	75	211	769	339	357	149	94	181	229
g23109.t1	g23109.t1	320.353125274775	-1.83030916912116	0.396288584738581	-4.61862702991698	3.86287469827201e-06	0.00256144091539878	203	158	78	459	69	110	401	1021	468	528	306	124	295	285
g12612.t2	g12612.t2	42.5960380193629	3.12186998304762	0.773879023764713	4.03405427357439	5.48226467035806e-05	0.0136171258007386	2	2	37	23	30	68	0	27	29	18	25	323	86	7
g23715.t1	g23715.t1	70.6280261589478	4.1339993615958	1.10684965089202	3.73492403260386	0.00018777186019395	0.0318290068373406	3	0	0	1	701	23	2	0	1	0	1	277	0	8
g1053.t1	g1053.t1	28.9981903498142	1.93326885578125	0.433695975503632	4.45765920132468	8.2859495740904e-06	0.00423343866370691	5	6	50	18	76	51	5	14	28	4	38	55	80	20
g6700.t1	g6700.t1	5765.84609728051	-1.50063605825014	0.305200975612089	-4.91687831351316	8.79351736236505e-07	0.00091427984928997	11633	7345	1257	2747	2055	3594	10676	4122	2323	3733	1791	5795	1854	7981
g3730.t1	g3730.t1	263.318365682604	-0.676724078247044	0.139572313263214	-4.84855529313209	1.24363868142188e-06	0.00118052401833972	274	292	241	351	197	208	154	482	340	258	212	206	307	248
g8208.t1	g8208.t1	118.584203806166	2.85647295205418	0.79258744366276	3.60398461380318	0.000313375615616304	0.0435425654968847	4	8	36	17	1021	130	6	4	25	8	60	307	6	61
g12253.t1	g12253.t1	66.6381157590082	2.93033980133608	0.716242320717386	4.09126871810795	4.2901966827662e-05	0.0121566244809427	3	2	19	24	564	73	8	16	13	6	56	140	26	18
g6273.t1	g6273.t1	32.8607881170076	-4.45019175742022	1.23503519693787	-3.60329144339689	0.00031421287717004	0.0435425654968847	2	0	5	190	2	0	82	1	119	12	1	5	5	1
g15129.t1	g15129.t1	80.0502261459519	3.96934414013652	0.926313056232189	4.28510006787767	1.82656954019705e-05	0.00679949465110607	0	1	10	17	399	160	1	10	15	0	106	399	61	20
g15820.t1	g15820.t1	54.8016922324525	3.25018063013528	0.660700101517669	4.91929791242564	8.68551896380043e-07	0.00091427984928997	3	5	18	12	348	117	2	5	9	0	38	177	46	25
g20160.t1	g20160.t1	14.8439370349738	1.67569294571671	0.466876074385424	3.58916003121926	0.000331745153950313	0.0456389981720774	5	6	28	15	29	11	0	25	13	7	48	18	36	1
g15181.t1	g15181.t1	1546.44203317912	-1.38468075971384	0.321690912260023	-4.3043825826034	1.6745207374611e-05	0.00635815524013978	2995	3264	261	412	543	858	2727	672	409	604	324	1675	447	2303
g11893.t1	g11893.t1	18.297413076671	3.0615147677358	0.682639599987492	4.48481858918219	7.29759949869757e-06	0.00384847018007704	5	4	81	1	55	33	5	7	5	5	11	7	71	0
g4147.t1	g4147.t1	7124.44895601626	-0.88224553989194	0.210196387714285	-4.19724406059326	2.70182722139953e-05	0.00884382582728794	11794	7719	4978	8176	4330	6139	5872	12736	5324	5616	3964	6810	6319	7555
